#,Their Category,Relay Mapping (OUTPUT_MAP),Verdict,Note
1,"Configuration","Testing & Learning Portal Configurations","Relevant","Direct"
2,"Content Creation","TR-Doc / PPT / Projects / Objective Content","Relevant","Direct"
3,"Content Effectiveness","Pedagogy Initiative","Relevant","Direct"
4,"Content Quality Issues","Issue Resolution","Relevant","Clean"
5,"Content Recording","Content Recording","Relevant","Direct (own category added)"
6,"Content Revamp","Content Creation formats","Odd","Inflates Content Velocity"
7,"Content Review","Review Video Recordings & PPTs","Relevant","Slightly narrow (video/PPT only)"
8,"Coordination","Cross-team Coordination / Stakeholder Request Fulfillment","Relevant","Direct"
9,"Course Structure","Curriculum Structure Plans for Sem 5 & 6","Relevant","Direct"
10,"Day-to-Day","Internal Sync-up Notes & Meeting Summaries","Odd","Vague catch-all mapped to specific artifact"
11,"Interview Calls Drilldown","Interviews/Offer roll-out","Relevant","Direct"
12,"Knowledge Transfers","Upskilling & Learning hours","Odd","Direction reversed (teach vs learn)"
13,"Learning New Skill(s)","Upskilling & Learning hours","Relevant","Direct"
14,"Meetings - Adhoc","","New","No home"
15,"Meetings - Content (Business requirements)","","New","No home"
16,"Meetings - Content (Pre-sprint, Sprint & Reviews)","","New","No home"
17,"Meetings - Product & Content Sync","","New","No home"
18,"Mid-term Review","Performance-Goal Management","Relevant","Clean"
19,"One-on-one Coaching","HR & Employee Engagement","Odd","3-into-1 collapse + mislabel"
20,"One-to-one Feedback","HR & Employee Engagement","Odd","Same bucket as #19/#29"
21,"Performance Review","Performance-Goal Management","Relevant","Direct"
22,"Placement Support","Stakeholder Request Fulfillment","Odd","Student-facing not business requests"
23,"Process Setting","Feedback & Backpropagation","Odd","Content loop not org process"
24,"R & D","Agentic Workflow Initiative, R&D, Tools","Relevant","Direct"
25,"Hiring Task","Interviews/Offer roll-out","Relevant","Direct"
26,"Semester Review","Executive Reporting","Odd","Academic review not exec reporting"
27,"Skill Assessments Review","Content-Assessment Alignment","Odd","Different meaning"
28,"Team-bonding Activity","HR & Employee Engagement","Relevant","Natural fit"
29,"Team-level Coaching","HR & Employee Engagement","Odd","Same bucket as #19/#20"
30,"Testing","Testing & Learning Portal Configurations","Relevant","Direct"
31,"University Course Structure Alignment","Syllabus Drafts & Revised Curriculum Documents","Relevant","Direct"
32,"Regulation & Compliance","Regulations & Compliance (NASSCOM) docs","Relevant","Direct"
33,"Resolving Internal Queries","Issue Resolution / Operational Support Tickets","Relevant","Direct"
