#,Their Category,In Your Application (OUTPUT_MAP),Status
1,Configuration,Testing & Learning Portal Configurations,Existing
2,Content Creation,TR-Doc / PPT / Projects / Objective Content / Other content format,Existing
3,Content Effectiveness,Pedagogy Initiative,Existing
4,Content Quality Issues,Content Quality Issues,Added
5,Content Recording,Video Session,Existing
6,Content Revamp,Content Revamp,Added
7,Content Review,Content Review,Added
8,Coordination,Cross-team Coordination & Adhoc Support / Stakeholder Request Fulfillment,Existing
9,Course Structure,Curriculum Structure Plans for Sem 5 & 6,Existing
10,Day-to-Day,Day-to-Day,Added
11,Interview Calls Drilldown,Interviews/Offer roll-out,Existing
12,Knowledge Transfers,Knowledge Transfers,Added
13,Learning New Skill(s),Upskilling & Learning hours,Existing
14,Meetings - Adhoc,Meetings - Adhoc,Added
15,Meetings - Content (Business requirements),Meetings - Content (Business requirements),Added
16,Meetings - Content (Pre-sprint Sprint & Reviews),Meetings - Content (Pre-sprint Sprint & Reviews),Added
17,Meetings - Product & Content Sync,Meetings - Product & Content Sync,Added
18,Mid-term Review,Mid-term Review,Added
19,One-on-one Coaching,One-on-one Coaching,Added
20,One-to-one Feedback,One-to-one Feedback,Added
21,Performance Review,Performance-Goal Management,Existing
22,Placement Support,Placement Support,Added
23,Process Setting,Process Setting,Added
24,R & D,Agentic Workflow Initiative R&D Tools,Existing
25,Hiring Task,Interviews/Offer roll-out,Existing
26,Semester Review,Semester Review,Added
27,Skill Assessments Review,Skill Assessments Review,Added
28,Team-bonding Activity,HR & Employee Engagement,Existing
29,Team-level Coaching,Team-level Coaching,Added
30,Testing,Testing & Learning Portal Configurations,Existing
31,University Course Structure Alignment,Syllabus Drafts & Revised Curriculum Documents,Existing
32,Regulation & Compliance,Regulations & Compliance (NASSCOM),Existing
33,Resolving Internal Queries,Issue Resolution / Operational Support Tickets,Existing
